variant_name,source_kind,role,config_path,selected_feature_count,selected_features,board_family,search_tier,eval_tier,feature_count_bin,stratum,perft_sec,_perft_band,screen_pass,shortlist_reason
stratified_variant_28,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_28.json,27,0x88|Alpha-Beta|Castling|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|Iterative Deepening|Killer Heuristic|Late Move Reductions|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Null Move Pruning|Piece Lists|Piece-Square Tables|Pondering|Pseudo-Legal Move Generation|Quiescence Search|Razoring|Threefold Repetition|UCI|Unmake Move,0x88,minimax,structural_eval,medium,0x88__minimax__structural_eval,0.273,slow,PASS,stratified_slow
stratified_variant_81,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_81.json,21,0x88|Bishop Pair|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|Killer Heuristic|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Quiescence Search|Threefold Repetition|UCI|Unmake Move|Zobrist Hashing,0x88,negamax,rich_eval,medium,0x88__negamax__rich_eval,0.21,fast,PASS,stratified_fast
stratified_variant_26,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_26.json,25,0x88|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|History Heuristic|Iterative Deepening|Killer Heuristic|King Pressure|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Quiescence Search|Rook on Open File|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,0x88,negamax,rich_eval,medium,0x88__negamax__rich_eval,0.232,mid,PASS,stratified_mid
stratified_variant_48,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_48.json,26,0x88|Castling|Copy-Make|Delta Pruning|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|Iterative Deepening|King Activity|Legal Move Generation|Make Move|Move Generation|Negamax|Pawn Hash Table|Pseudo-Legal Move Generation|Quiescence Search|Razoring|Tapered Eval|Threefold Repetition|Time Management|UCI|Unmake Move|Zobrist Hashing,0x88,negamax,rich_eval,medium,0x88__negamax__rich_eval,0.299,slow,PASS,stratified_slow
stratified_variant_55,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_55.json,25,0x88|Alpha-Beta|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|King Pressure|Legal Move Generation|Make Move|Move Generation|Negamax|Null Move Pruning|Opening Book|Pondering|Principal Variation Search|Quiescence Search|Razoring|Replacement Schemes|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,0x88,pruning_full,rich_eval,medium,0x88__pruning_full__rich_eval,0.211,fast,PASS,stratified_fast
stratified_variant_87,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_87.json,26,0x88|Alpha-Beta|Castling|Delta Pruning|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|King Activity|King Shelter|Legal Move Generation|Make Move|Mobility|Move Generation|Negamax|Opening Book|Passed Pawn|Piece Lists|Piece-Square Tables|Principal Variation Search|Quiescence Search|Tapered Eval|Threefold Repetition|UCI|Unmake Move,0x88,pruning_full,rich_eval,medium,0x88__pruning_full__rich_eval,0.23,mid,PASS,stratified_mid
stratified_variant_71,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_71.json,33,0x88|Alpha-Beta|Castling|Connected Pawn|Copy-Make|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Isolated Pawn|Killer Heuristic|King Pressure|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Passed Pawn|Pawn Hash Table|Piece-Square Tables|Principal Variation Search|Quiescence Search|Rook on Open File|Rook Semi-Open File|Static Exchange Evaluation|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,0x88,pruning_full,rich_eval,high,0x88__pruning_full__rich_eval,0.309,slow,PASS,stratified_slow
stratified_variant_43,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_43.json,25,10x12 Board|Alpha-Beta|Castling|Connected Pawn|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Isolated Pawn|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Piece Lists|Pondering|Razoring|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move,10x12 Board,alpha_beta,rich_eval,medium,10x12 Board__alpha_beta__rich_eval,0.219,fast,PASS,stratified_fast
stratified_variant_60,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_60.json,27,10x12 Board|Alpha-Beta|Castling|Connected Pawn|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|King Pressure|King Shelter|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Opening Book|Piece-Square Tables|Pseudo-Legal Move Generation|Quiescence Search|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|UCI|Unmake Move|Zobrist Hashing,10x12 Board,alpha_beta,rich_eval,medium,10x12 Board__alpha_beta__rich_eval,0.256,mid,PASS,stratified_mid
stratified_variant_92,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_92.json,28,10x12 Board|Alpha-Beta|Aspiration Windows|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Killer Heuristic|King Pressure|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Null Move Pruning|Opening Book|Passed Pawn|Pawn Hash Table|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,10x12 Board,alpha_beta,rich_eval,medium,10x12 Board__alpha_beta__rich_eval,0.274,slow,PASS,stratified_slow
