variant_name,source_kind,role,config_path,binary_path,selected_feature_count,selected_features,board_family,search_tier,eval_tier,feature_count_bin,stratum,derive_build_sec,perft_sec,correctness_sec,total_sec,uci_smoke,uci_smoke_error,perft_pass,correctness_pass,screen_pass,derive_selected_count,perft_d1,perft_d2,perft_d3,perft_d4,perft_d5
stratified_variant_16,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_16.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_16,22,Alpha-Beta|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|King Activity|Legal Move Generation|Mailbox|Make Move|Mobility|Move Generation|Negamax|Pawn Hash Table|Quiescence Search|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|UCI|Unmake Move|Zobrist Hashing,Mailbox,alpha_beta,rich_eval,medium,Mailbox__alpha_beta__rich_eval,0.429,0.229,0.032,0.691,PASS,,PASS,PASS,PASS,22,20,400,8902,197281,4865609
stratified_variant_17,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_17.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_17,27,10x12 Board|Alpha-Beta|Aspiration Windows|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Isolated Pawn|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Null Move Pruning|Pawn Hash Table|Pondering|Quiescence Search|Replacement Schemes|Static Exchange Evaluation|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,10x12 Board,alpha_beta,rich_eval,medium,10x12 Board__alpha_beta__rich_eval,0.447,9.611,0.011,10.07,PASS,,PASS,PASS,PASS,27,20,400,8902,197281,4865609
stratified_variant_18,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_18.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_18,26,Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|Iterative Deepening|Late Move Reductions|Legal Move Generation|Mailbox|Make Move|Minimax|Move Generation|Move Ordering|Null Move Pruning|Piece Lists|Piece-Square Tables|Pseudo-Legal Move Generation|Replacement Schemes|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Mailbox,minimax,pst_eval,medium,Mailbox__minimax__pst_eval,0.442,0.218,0.01,0.669,PASS,,PASS,PASS,PASS,26,20,400,8902,197281,4865609
stratified_variant_19,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_19.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_19,32,10x12 Board|Alpha-Beta|Aspiration Windows|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|Isolated Pawn|King Activity|King Shelter|Legal Move Generation|Make Move|Minimax|Mobility|Move Generation|Move Ordering|Piece-Square Tables|Pondering|Quiescence Search|Razoring|Rook Semi-Open File|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,10x12 Board,minimax,rich_eval,high,10x12 Board__minimax__rich_eval,0.471,0.224,0.012,0.707,PASS,,PASS,PASS,PASS,32,20,400,8902,197281,4865609
stratified_variant_20,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_20.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_20,27,0x88|Alpha-Beta|Castling|Connected Pawn|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|History Heuristic|Killer Heuristic|King Pressure|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Piece Lists|Rook on Open File|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move,0x88,alpha_beta,rich_eval,medium,0x88__alpha_beta__rich_eval,0.462,0.274,0.012,0.748,PASS,,PASS,PASS,PASS,27,20,400,8902,197281,4865609
stratified_variant_21,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_21.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_21,27,Alpha-Beta|Bitboards|Castling|Connected Pawn|Copy-Make|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Killer Heuristic|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Piece Lists|Piece-Square Tables|Quiescence Search|Razoring|Replacement Schemes|Threefold Repetition|Transposition Table|UCI|Unmake Move,Bitboards,alpha_beta,structural_eval,medium,Bitboards__alpha_beta__structural_eval,0.484,0.288,0.012,0.784,PASS,,PASS,PASS,PASS,27,20,400,8902,197281,4865609
stratified_variant_22,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_22.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_22,24,Castling|Connected Pawn|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Iterative Deepening|King Pressure|Legal Move Generation|Mailbox|Make Move|Move Generation|Negamax|Piece-Square Tables|Pondering|Quiescence Search|Rook Semi-Open File|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Mailbox,negamax,rich_eval,medium,Mailbox__negamax__rich_eval,0.498,0.271,0.925,1.693,PASS,,PASS,PASS,PASS,24,20,400,8902,197281,4865609
stratified_variant_23,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_23.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_23,21,Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|History Heuristic|Legal Move Generation|Mailbox|Make Move|Minimax|Move Generation|Move Ordering|Opening Book|Pondering|Threefold Repetition|Transposition Table|UCI|Unmake Move,Mailbox,minimax,material_eval,medium,Mailbox__minimax__material_eval,0.447,0.22,0.01,0.677,PASS,,PASS,PASS,PASS,21,20,400,8902,197281,4865609
stratified_variant_24,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_24.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_24,32,Alpha-Beta|Bitboards|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Isolated Pawn|Killer Heuristic|King Activity|King Pressure|Late Move Reductions|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Passed Pawn|Principal Variation Search|Replacement Schemes|Rook on Open File|Rook Semi-Open File|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Bitboards,pruning_full,rich_eval,high,Bitboards__pruning_full__rich_eval,0.498,0.247,0.011,0.757,PASS,,PASS,PASS,PASS,32,20,400,8902,197281,4865609
stratified_variant_25,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_25.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_25,22,Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|Legal Move Generation|Mailbox|Make Move|Move Generation|Negamax|Opening Book|Piece-Square Tables|Pondering|Principal Variation Search|Rook Semi-Open File|Static Exchange Evaluation|Threefold Repetition|Transposition Table|UCI|Unmake Move,Mailbox,pvs_id,rich_eval,medium,Mailbox__pvs_id__rich_eval,0.473,0.206,0.011,0.69,PASS,,PASS,PASS,PASS,22,20,400,8902,197281,4865609
stratified_variant_26,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_26.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_26,25,0x88|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|History Heuristic|Iterative Deepening|Killer Heuristic|King Pressure|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Quiescence Search|Rook on Open File|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,0x88,negamax,rich_eval,medium,0x88__negamax__rich_eval,0.426,0.232,0.137,0.795,PASS,,PASS,PASS,PASS,25,20,400,8902,197281,4865609
stratified_variant_27,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_27.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_27,25,10x12 Board|Alpha-Beta|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Iterative Deepening|King Activity|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Passed Pawn|Principal Variation Search|Rook on Open File|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move,10x12 Board,pvs_id,rich_eval,medium,10x12 Board__pvs_id__rich_eval,0.45,0.25,0.011,0.711,PASS,,PASS,PASS,PASS,25,20,400,8902,197281,4865609
stratified_variant_28,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_28.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_28,27,0x88|Alpha-Beta|Castling|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|Iterative Deepening|Killer Heuristic|Late Move Reductions|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Null Move Pruning|Piece Lists|Piece-Square Tables|Pondering|Pseudo-Legal Move Generation|Quiescence Search|Razoring|Threefold Repetition|UCI|Unmake Move,0x88,minimax,structural_eval,medium,0x88__minimax__structural_eval,0.465,0.273,0.01,0.748,PASS,,PASS,PASS,PASS,27,20,400,8902,197281,4865609
stratified_variant_29,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_29.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_29,26,Alpha-Beta|Aspiration Windows|Castling|Copy-Make|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Legal Move Generation|Mailbox|Make Move|Move Generation|Move Ordering|Negamax|Passed Pawn|Piece Lists|Piece-Square Tables|Pseudo-Legal Move Generation|Quiescence Search|Razoring|Threefold Repetition|Transposition Table|UCI|Unmake Move,Mailbox,alpha_beta,structural_eval,medium,Mailbox__alpha_beta__structural_eval,0.447,0.389,0.024,0.86,PASS,,PASS,PASS,PASS,26,20,400,8902,197281,4865609
stratified_variant_30,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_30.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_30,32,0x88|Alpha-Beta|Bishop Pair|Castling|Connected Pawn|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|King Activity|King Pressure|King Shelter|Late Move Reductions|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Null Move Pruning|Pawn Hash Table|Piece Lists|Piece-Square Tables|Quiescence Search|Razoring|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|UCI|Unmake Move|Zobrist Hashing,0x88,minimax,rich_eval,high,0x88__minimax__rich_eval,0.503,36.525,0.01,37.038,PASS,,PASS,PASS,PASS,32,20,400,8902,197281,4865609
stratified_variant_31,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_31.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_31,30,Alpha-Beta|Castling|Connected Pawn|Delta Pruning|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|History Heuristic|Iterative Deepening|Killer Heuristic|Legal Move Generation|Mailbox|Make Move|Minimax|Move Generation|Move Ordering|Opening Book|Passed Pawn|Piece Lists|Principal Variation Search|Pseudo-Legal Move Generation|Quiescence Search|Razoring|Threefold Repetition|Transposition Table|UCI|Unmake Move,Mailbox,minimax,structural_eval,medium,Mailbox__minimax__structural_eval,0.461,0.268,0.01,0.739,PASS,,PASS,PASS,PASS,30,20,400,8902,197281,4865609
stratified_variant_32,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_32.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_32,27,Alpha-Beta|Bitboards|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|History Heuristic|Iterative Deepening|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Null Move Pruning|Opening Book|Passed Pawn|Principal Variation Search|Quiescence Search|Razoring|Replacement Schemes|Threefold Repetition|Transposition Table|UCI|Unmake Move,Bitboards,pruning_full,structural_eval,medium,Bitboards__pruning_full__structural_eval,0.448,0.254,0.01,0.712,PASS,,PASS,PASS,PASS,27,20,400,8902,197281,4865609
stratified_variant_33,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_33.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_33,29,10x12 Board|Alpha-Beta|Bishop Pair|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|History Heuristic|Iterative Deepening|Killer Heuristic|King Shelter|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Null Move Pruning|Opening Book|Passed Pawn|Pondering|Static Exchange Evaluation|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,10x12 Board,pruning_full,rich_eval,medium,10x12 Board__pruning_full__rich_eval,0.472,0.211,0.011,0.694,PASS,,PASS,PASS,PASS,29,20,400,8902,197281,4865609
